,Distance mahalanobis,Phrase,Index phrase,Roman
26,5.525104,"Car après avoir presque « parlé » : « les escargots , ils sont frais , ils sont beaux » , c ' était avec la tristesse et le vague de Maeterlinck , musicalement transposés par Debussy , que le marchand d ' escargots , dans un de ces douloureux finales par où l ' auteur de _ Pelléas _ s ' apparente à Rameau : « Si je dois être vaincue , est - ce à toi d ' être mon vainqueur ? »",29419,4laprison.txt
27,5.5251184,"Mais parfois retentissait la sirène comme un appel déchirant de Walkyrie - - seule musique allemande qu ’ on eût entendue depuis la guerre - - jusqu ’ à l ’ heure où les pompiers annonçaient que l ’ alerte était finie tandis qu ’ à côté d ’ eux la berloque , comme un invisible gamin , commentait à intervalles réguliers la bonne nouvelle et jetait en l ’ air son cri de joie .",37900,6retrouve1.txt
28,5.544016,"Dans un bois l ' amateur d ' oiseaux distingue aussitôt ces gazouillis particuliers à chaque oiseau , que le vulgaire confond .",11034,1ombre3.txt
29,5.5455413,"Certaines des nourritures criées dans la rue , et que personnellement je détestais , étaient fort au goût d ' Albertine , si bien que Françoise en envoyait acheter par son jeune valet , peut - être un peu humilié d ' être confondu dans la foule plébéienne .",29415,4laprison.txt
30,5.551958,"La lourde rumeur d ' un bain qu ' on prépare s ' atténue , s ' allège et s ' éloigne comme un gazouillement céleste .",12369,2guermantes1.txt
31,5.574439,"Et même quand il ne bougeait pas , comme les gens vulgaires il faisait tout le temps entendre des bruits qui , du moment que je voyais monter la flamme , se montraient à moi des bruits de feu , mais que , si j ' eusse été de l ' autre côté du mur , j ' aurais cru venir de quelqu ' un qui se mouchait et marchait .",12354,2guermantes1.txt
32,5.622463,"Ces mots , j ' avais cessé de les entendre un instant pendant qu ' Albertine était auprès de moi tout à l ' heure .",27903,3sodome2.txt
33,5.63766,"Mais j ' étais obligé d ' attendre longtemps , car le silence environnant était si profond qu ' il avait laissé passer avec une netteté et une force extrêmes des bruits encore lointains .",12667,2guermantes1.txt
34,5.6576376,"Son sommeil n ' était qu ' une sorte d ' effacement du reste de la vie , qu ' un silence uni sur lequel prenaient de temps à autre leur vol des paroles familières de tendresse .",29390,4laprison.txt
35,5.668884,"Et comme notre nouveau quartier paraissait aussi calme que le boulevard sur lequel nous avions donné jusque - là était bruyant , la chanson ( distincte de loin , quand elle est faible , comme un motif d ' orchestre ) d ' un homme qui passait , faisait venir des larmes aux yeux de Françoise en exil .",11647,2guermantes1.txt
36,5.6784983,"il soufflait froid et continu d ' une autre direction venue du fond du passé , me rapportant la sonnerie d ' heures lointaines , des sifflements de départ que je n ' entendais pas d ' habitude .",35119,5disparue1.txt
37,5.6825175,"Ah ! ce ne fut pas la suppression de la souffrance que produisirent en moi les deux premières lignes du télégramme : « Mon pauvre ami , notre petite Albertine n ' est plus , pardonnez - moi de vous dire cette chose affreuse , vous qui l ' aimiez tant .",34325,5disparue1.txt
38,5.688667,"Ici c ' était bien encore à la déclamation à peine lyrique de Moussorgsky que faisait penser le marchand , mais pas à elle seulement .",29418,4laprison.txt
39,5.6898217,Et cette atténuation des sons trouble même quelquefois le sommeil au lieu de le protéger .,12380,2guermantes1.txt
40,5.695247,L ' amateur de jeunes filles sait que les voix humaines sont encore bien plus variées .,11035,1ombre3.txt
41,5.726849,"et aussi par les mouches qui exécutaient devant moi , dans leur petit concert , comme la musique de chambre de l ’ été : elle ne l ’ évoque pas à la façon d ’ un air de musique humaine , qui , entendu par hasard à la belle saison , vous la rappelle ensuite ;",958,0ducote.txt
42,5.7468295,"Les procédés de narration destinés à exciter la curiosité ou l ’ attendrissement , certaines façons de dire qui éveillent l ’ inquiétude et la mélancolie , et qu ’ un lecteur un peu instruit reconnaît pour communs à beaucoup de romans , me paraissaient simples - - à moi qui considérais un livre nouveau non comme une chose ayant beaucoup de semblables , mais comme une personne unique , n ’ ayant de raison d ’ exister qu ’ en soi , - - une émanation troublante de l ’ essence particulière à François le Champi .",484,0ducote.txt
43,5.7668343,"Mais , là , le sommeil avait fabriqué des sons .",25797,3sodome2.txt
44,5.77194,"Toutes en étaient , persuadées .",18307,2guermantes3.txt
45,5.773008,Je croyais l ' entendre .,12823,2guermantes1.txt
46,5.7886662,"mais cent fois par heure le courant interrompu était rétabli , et mon cœur était brûlé sans pitié par un feu d ' enfer , tandis que je voyais Albertine ressuscitée par ma jalousie , vraiment vivante , se raidir sous les caresses de la petite blanchisseuse à qui elle disait : « Tu me mets aux anges » .",34967,5disparue1.txt
47,5.789396,"« Et , mon vieux , ajoute l ’ amateur en vous prenant par le bras , moi c ’ est la huitième fois que je l ’ entends , et je vous jure bien que ce n ’ est pas la dernière . »",39417,6retrouve2.txt
48,5.8210616,"Certes la fantaisie , l ' esprit de chaque marchand ou marchande , introduisaient souvent des variantes dans les paroles de toutes ces musiques que j ' entendais de mon lit .",29425,4laprison.txt
49,5.848416,Il en différait autant que la déclamation - - à peine colorée par des variations insensibles - - de Boris Godounow et de Pelléas ;,29411,4laprison.txt
50,5.849782,"Une des jeunes filles que je ne connaissais pas se mit au piano , et Andrée demanda à Albertine de valser avec elle .",22591,3sodome1.txt
51,5.8571925,"aujourd ' hui , à la surface de silence étendue sur notre sommeil , un heurt plus fort que les autres arrive à se faire entendre , léger comme un soupir , sans lien avec aucun autre son , mystérieux ;",12382,2guermantes1.txt
52,5.866704,"Ces paroles de Swann auraient pu fausser , pour plus tard , ma compréhension de la Sonate , la musique étant trop peu exclusive pour écarter absolument ce qu ' on nous suggère d ' y trouver .",6433,1ombre1.txt
53,5.8686924,"Car l ' appel qu ' ils lançaient aux petites maisons voisines n ' avait , à de rares exceptions près , rien d ' une chanson .",29410,4laprison.txt
54,5.8747206,"Et même en tenant compte de cette originalité acquise qui m ' avait frappé dès l ' après - midi , de cette parenté que les musicographes pourraient trouver entre eux , c ' est bien un accent unique auquel s ' élèvent , auquel reviennent malgré eux ces grands chanteurs que sont les musiciens originaux , et qui est une preuve de l ' existence irréductiblement individuelle de l ' âme .",31276,4laprison.txt
55,5.882272,"Le recul du bruit , son amincissement , lui ôtent toute puissance agressive à notre égard ;",12370,2guermantes1.txt
56,5.8838167,"Comme je les répétai , renouvelant le choc à plaisir , ces mots de hangar , de couloir , de salon , quand Saint - Loup fut parti !",34234,5disparue1.txt
57,5.8838177,Le pépiement matinal des oiseaux semblait insipide à Françoise .,11639,2guermantes1.txt
58,5.912137,"Hier encore les bruits incessants , en nous décrivant d ' une façon continue les mouvements dans la rue et dans la maison , finissaient par nous endormir comme un livre ennuyeux ;",12381,2guermantes1.txt
59,5.912707,mais c ’ était comme des lettres de feu qui le brûlaient .,4142,0ducote.txt
60,5.9209137,"Ceux qui m ’ assaillaient tout à l ’ heure au sujet de la réalité de mes dons littéraires , et même de la réalité de la littérature , se trouvaient levés comme par enchantement .",39166,6retrouve2.txt
61,5.921102,"Jadis , quand le vent soufflait dans ma cheminée , j ' écoutais les coups qu ' il frappait contre la trappe avec autant d ' émotion que si , pareils aux fameux coups d ' archet par lesquels débute la Symphonie en ut mineur , ils avaient été les appels irrésistibles d ' un mystérieux destin .",16391,2guermantes2.txt
62,5.9248114,"Ce n ' est pas dans les froids pastiches des écrivains d ' aujourd ' hui qui disent : au fait ( pour en réalité ) , singulièrement ( pour en particulier ) , étonné ( pour frappé de stupeur ) , etc . , etc . , qu ' on retrouve le vieux langage et la vraie prononciation des mots , mais , en causant avec une Mme de Guermantes ou une Françoise ;",28281,4laprison.txt
63,5.924889,"Je m ' arrêtais pour les voir , je regardais du côté où j ' avais entendu le bruit .",12666,2guermantes1.txt
64,5.9330354,"Alors que le malade lise , et les pages se tourneront silencieusement comme si elles étaient feuilletées par un dieu .",12368,2guermantes1.txt
65,5.938008,"Et , peut - être , ces bruits avaient - ils été devancés eux - mêmes par quelque émanation plus rapide et plus pénétrante qui , glissée au travers de mon sommeil , y répandait une tristesse annonciatrice de la neige , ou y faisait entonner , à certain petit personnage intermittent , de si nombreux cantiques à la gloire du soleil que ceux - ci finissaient par amener pour moi , qui encore endormi commençais à sourire , et dont les paupières closes se préparaient à être éblouies , un étourdissant réveil en musique .",27954,4laprison.txt
66,5.9474487,"Mais peut - être cela même me rendait - il la vie plus poétique de penser que la race mystérieuse aux yeux perçants , au bec d ’ oiseau , la race rose , dorée , inapprochable , s ’ était trouvée si souvent , si naturellement , par l ’ effet de circonstances aveugles et différentes , s ’ offrir à ma contemplation , à mon commerce , même à mon intimité , au point que , quand j ’ avais voulu connaître Mlle de Stermaria ou faire faire des robes à Albertine , c ’ était , comme aux plus serviables de mes amis , à des Guermantes que je m ’ étais adressé .",40367,6retrouve2.txt
67,5.9567113,On ne l ' entendait même pas .,32152,4laprison.txt
68,5.9827743,"Mon hésitation entre les diverses jeunes filles de la petite bande lesquelles gardaient toutes un peu du charme collectif qui m ' avait d ' abord troublé , s ' ajouta - t - il aussi à ces causes pour me laisser plus tard , même au temps de mon plus grand - - de mon second - - amour pour Albertine , une sorte de liberté intermittente , et bien brève , de ne l ' aimer pas .",10197,1ombre3.txt
69,6.012256,"grâce à eux j ' avais de sa vérité une notion aussi certaine , de son charme enivrant et frivole une jouissance aussi complète que celles que j ' avais à Combray , au mois de juillet , quand j ' entendais les coups de marteau de l ' emballeur et que je jouissais , dans la fraîcheur de ma chambre noire , de la chaleur et du soleil .",16967,2guermantes3.txt
70,6.012607,"Que l ' expression suffise à faire croire à d ' énormes différences entre ce que sépare un infiniment petit - - qu ' un infiniment petit puisse à lui seul créer une expression absolument particulière , une individualité - - ce n ' était pas que l ' infiniment petit de la ligne , et l ' originalité de l ' expression , qui faisaient apparaître ces visages comme irréductibles les uns aux autres .",11549,1ombre3.txt
71,6.0214705,Alors j ' entendis le tic tac en un lieu fixe d ' où il ne bougea plus .,12363,2guermantes1.txt
72,6.038818,"et après cette étroite interruption où le silence s ' était fait musique , il reprenait avec mon sommeil avant même que les dragons eussent fini de passer , me dérobant les dernières gerbes épanouies du bouquet jaillissant et sonore .",12498,2guermantes1.txt
73,6.042372,"Car en me représentant le retour en somme si aisé d ' Albertine , brusquement toutes les raisons qui rendaient notre mariage une chose mauvaise pour moi revinrent avec toute leur force .",34062,5disparue1.txt
74,6.0445437,"Et elle ajouta encore , avec application , ceci de sa marquise à elle , Mme de Sévigné : « En les écoutant je pensais qu ' ils me préparaient les délices d ' un adieu . »",15858,2guermantes2.txt
75,6.0474534,"Puis , parvenu si haut , prolongé avec tant de force , le chant , mêlé d ' un murmure de supplication dans la volupté , semblait à certains moments s ' arrêter tout à fait comme une source s ' épuise .",16302,2guermantes2.txt
76,6.047753,Leur affection ne survit pas à l ' exaltation qui la dicte ;,18938,2guermantes3.txt
77,6.0730352,"Un nouveau bruit de pas retentissait , je ne me levais pas , ce devait être encore un valet de pied , c ' était M . Swann .",6352,1ombre1.txt
78,6.1031866,"les formes , - - et celle aussi du petit coquillage de pâtisserie , si grassement sensuel , sous son plissage sévère et dévot - - s ’ étaient abolies , ou , ensommeillées , avaient perdu la force d ’ expansion qui leur eût permis de rejoindre la conscience .",568,0ducote.txt
79,6.1041284,L ’ avez - vous entendue ? »,1138,0ducote.txt
80,6.106891,"Et quand , par hasard , j ' apercevais l ' un de ces oiseaux qui passait d ' une feuille sous une autre , il y avait si peu de lien apparent entre lui et ces chants que je ne croyais pas voir la cause de ceux - ci dans ce petit corps sautillant , étonné et sans regard .",8690,1ombre2.txt
81,6.1162252,"Je fus aussi surpris de voir l ' ironie que cachait l ' amabilité apparente des Verdurin pour Brichot que d ' entendre , quelques jours plus tard , à Féterne , les Cambremer me dire , devant l ' éloge enthousiaste que je faisais de la Raspelière : « Ce n ' est pas possible que vous soyez sincère , après ce qu ' ils en ont fait . »",25076,3sodome2.txt
82,6.120603,Chacune possède plus de notes que le plus riche instrument .,11036,1ombre3.txt
83,6.126174,"Là on percevait exactement le bruit des vagues , qui ne parvenait pas au contraire dans les parties plus enfoncées du jardin , là où le flot se laissait voir encore , mais non plus entendre .",25998,3sodome2.txt
84,6.1272125,"Et en ce moment où ma grand ' mère était si mal , la besogne de Françoise lui semblait particulièrement sienne .",15997,2guermantes2.txt
85,6.1287193,"Françoise ayant entendu mon coup de sonnette entra , assez inquiète de la façon dont je prendrais ses paroles et sa conduite .",33510,4laprison.txt
86,6.132472,"Mais ce trompe - l ’ œil qui mettait près de moi un moment du passé , incompatible avec le présent , ce trompe - l ’ œil ne durait pas .",39222,6retrouve2.txt
87,6.1345363,"Elles sont folles à lier , je l ' ai toujours dit .",16358,2guermantes2.txt
88,6.1435328,Dans ces yeux et dans cette voix je retrouvais beaucoup de la nature de Combray .,18162,2guermantes3.txt
89,6.1476665,On sentait trop la méchanceté qui les dictait et cela ne faisait que faire mépriser un peu plus celles qui en avaient pris l ' initiative .,11444,1ombre3.txt
90,6.1494746,Quelquefois même cette heure prématurée sonnait deux coups de plus que la dernière ;,1000,0ducote.txt
91,6.1527004,"« Comment , le même aigle ?",34132,5disparue1.txt
92,6.1555877,Mais avec Albertine il n ' y avait que cela .,16456,2guermantes2.txt
93,6.1626177,"Et , ajouta - t - elle - - car si elle se moquait encore de la littérature nouvelle , celle - ci , peut - être par la vulgarisation des journaux ou à travers certaines conversations , s ' était un peu infiltrée en elle - - c ' est même ce qu ' il y a de beau dans l ' amour , parce que c ' est justement ce qui le rend « mystérieux » .",14473,2guermantes2.txt
94,6.1677547,"Qu ' était , à côté de la souffrance que je ressentais , la jalousie que j ' avais pu éprouver le jour où Saint - Loup avait rencontré Albertine avec moi à Doncières et où elle lui avait fait des agaceries ? celle aussi que j ' avais éprouvée en repensant à l ' initiateur inconnu auquel j ' avais pu devoir les premiers baisers qu ' elle m ' avait donnés à Paris , le jour où j ' attendais la lettre de Mlle de Stermaria ?",27781,3sodome2.txt
95,6.1840596,Si vous n ' avez même pas lu Molière . . .,26161,3sodome2.txt
96,6.192003,Encore ne s ' agissait - il que de Françoise dont je ne me souciais guère .,12252,2guermantes1.txt
97,6.1937685,"et les cris des oiseaux qui tournaient autour de lui semblaient accroître son silence , élancer encore sa flèche et lui donner quelque chose d ’ ineffable .",774,0ducote.txt
98,6.211351,On n ' aurait pu parler de pensée à propos de Françoise .,7953,1ombre2.txt
99,6.217624,"Et si , sous ma fenêtre , le vol inlassable et doux des martinets et des hirondelles n ' avait pas monté comme un jet d ' eau , comme un feu d ' artifice de vie , unissant l ' intervalle de ses hautes fusées par la filée immobile et blanche de longs sillages horizontaux , sans le miracle charmant de ce phénomène naturel et local qui rattachait à la réalité les paysages que j ' avais devant les yeux , j ' aurais pu croire qu ' ils n ' étaient qu ' un choix , chaque jour renouvelé , de peintures qu ' on montrait arbitrairement dans l ' endroit où je me trouvais et sans qu ' elles eussent de rapport nécessaire avec lui .",9720,1ombre3.txt
